ID,PAYS,PROVINCE,CPROV_SNIS,DIST_ADM,CDA_SNIS,TERRITOIRE,CTER_SNIS,DIST_SA,NOM_ZS,CZS_SNIS,SCE_GEO,Cde_ZS_PUC,Cde_DS_PUC,Nom_DS_PUC,Nom_ZS_PUC,Area,Pop,PopDensity
0,RDC,Province Orienta,05,Tshopo,0502,Banalia,050204,Tshopo Lindi,Bengamisa,05020402,OMS,0502A0402,0502A,Tshopo Lindi,Bengamisa,6465.19052547000,95771.00000000000,14.81
0,RDC,Province Orienta,05,Tshopo,0502,Isangi,050203,Tshopo Lomam,Yakusu,05020304,OMS,0502B0304,0502B,Tshopo Lomami,Yakusu,3603.81519106000,133751.00000000000,37.11
0,RDC,Province Orienta,05,Tshopo,0502,Isangi,050203,Tshopo Lomam,Yahisuli,05020303,OMS,0502B0303,0502B,Tshopo Lomami,Yahisuli,3256.65943832000,63410.00000000000,19.47
0,RDC,Province Orienta,05,Tshopo,0502,Isangi,050203,Tshopo Lomam,Yabaondo,05020302,OMS,0502B0302,0502B,Tshopo Lomami,Yabaondo,4759.66068203000,140661.00000000000,29.55
0,RDC,Province Orienta,05,Tshopo,0502,Isangi,050203,Tshopo Lomam,Isangi,05020301,OMS,0502B0301,0502B,Tshopo Lomami,Isangi,2148.74176438000,142181.00000000000,66.17
0,RDC,Province Orienta,05,Tshopo,0502,Opala,050206,Tshopo Lindi,Yaleko,05020602,OMS,0502A0602,0502A,Tshopo Lindi,Yaleko,8617.58515740000,114671.00000000000,13.31
0,RDC,Province Orienta,05,Tshopo,0502,Banalia,050204,Tshopo Lindi,Banalia,05020401,OMS,0502A0401,0502A,Tshopo Lindi,Banalia,17165.23676510000,116497.00000000000,6.79
0,RDC,Province Orienta,05,Tshopo,0502,Bafwasende,050207,Tshopo Lindi,Bafwasende,05020701,OMS,0502A0701,0502A,Tshopo Lindi,Bafwasende,17187.13071880000,65918.00000000000,3.84
0,RDC,Province Orienta,05,Tshopo,0502,Bafwasende,050207,Tshopo Lindi,Bafwagbogbo,05020703,OMS,0502A0703,0502A,Tshopo Lindi,Bafwagbogbo,8944.87729332000,57515.00000000000,6.43
0,RDC,Province Orienta,05,Bas-Uele,0503,Buta,050301,Buta,Buta,05030101,OMS,0503A0101,0503A,Buta,Buta,10886.52414450000,157074.00000000000,14.43
0,RDC,Province Orienta,05,Bas-Uele,0503,Buta,050301,Buta,Titule,05030102,OMS,0503A0102,0503A,Buta,Titule,6697.69319174000,66597.00000000000,9.94
0,RDC,Province Orienta,05,Bas-Uele,0503,Bambesa,050306,Dingila,Ganga,05030601,OMS,0503B0601,0503B,Dingila,Ganga,9915.85957423000,107583.00000000000,10.85
0,RDC,Sud Kivu,06,Bukavu,0601,Kadutu,060103,Bukavu,Kadutu,06010301,OMS,06010301,,Bukavu,Kadutu,18.09770721900,170312.00000000000,9410.60
0,RDC,Sud Kivu,06,Bukavu,0601,Bagira,060101,Bukavu,Bagira,06010101,OMS,06010101,,Bukavu,Bagira,22.14420195120,83347.00000000000,3763.80
0,RDC,Bandundu,03,Kwilu,0304,Bulungu,030402,Kwilu,Vanga,03040204,OMS,03040204,0304,Kwilu,Vanga,2153.76485631000,220125.00000000000,102.20
0,RDC,Bandundu,03,Kwilu,0304,Bulungu,030402,Kwilu,Djuma,03040202,OMS,03040202,0304,Kwilu,Djuma,2951.34250201000,168377.00000000000,57.05
0,RDC,Bandundu,03,Kwilu,0304,Bagata,030401,Kwilu,Sia,03040103,OMS,03040103,0304,Kwilu,Sia,2689.90452098000,88759.00000000000,33.00
0,RDC,Bandundu,03,Kwilu,0304,Gungu,030403,Kwilu,Mungindu,03040304,OMS,03040304,0304,Kwilu,Mungindu,2645.97734910000,98477.00000000000,37.22
